Obra|DataUltimaAuditoria|ValorInicialContratado|ValorAditado|DespesaPaga|ValorTotal
2402|2017-01-13T00:00:00|1049620.00|0.00|290150.00|1049620.00
2403|2017-02-15T00:00:00|1310088.00|764218.00|1200914.00|2074306.00
2404||6648505.08|0.00|4120631.92|6648505.08
2407|2016-07-05T00:00:00|904155.36|2094301.65|2450623.77|2998457.01
2409|2017-02-17T00:00:00|0.00|0.00|0.00|0.00
2410|2017-06-21T00:00:00|15267769.97|3805036.85|3464053.92|19072806.82
2411|2017-03-15T00:00:00|32693340.56|0.00|4662479.98|32693340.56
2414|2017-04-12T00:00:00|0.00|0.00|0.00|0.00
2416|2018-04-02T00:00:00|4275418.25|606125.65|2461512.42|4881543.90
2418|2017-01-17T00:00:00|148800.00|0.00|0.00|148800.00
2419|2017-08-24T00:00:00|10186500.00|-537298.37|5708668.78|9649201.63
2420|2017-04-12T00:00:00|306646.39|-6620.69|297021.20|300025.70
2421|2017-04-12T00:00:00|190728.39|-59740.76|121553.24|130987.63
2422|2017-04-12T00:00:00|2598080.91|0.00|1304175.21|2598080.91
2423|2017-04-12T00:00:00|2328971.82|248534.67|1813415.80|2577506.49
2424|2017-04-12T00:00:00|1243781.96|0.00|307418.28|1243781.96
2425|2017-04-12T00:00:00|200713.42|0.00|200534.03|200713.42
2426|2017-05-12T00:00:00|114864.10|0.00|0.00|114864.10
2427|2017-05-12T00:00:00|1572500.00|0.00|0.00|1572500.00
2429|2017-06-08T00:00:00|11387019.14|11387019.14|20361176.00|22774038.28
2432|2017-06-01T00:00:00|384680.40|0.00|128226.80|384680.40
2433|2016-02-29T00:00:00|1500000.00|0.00|0.00|1500000.00
2436|2017-06-06T00:00:00|13063875.46|42775823.69|42039908.83|55839699.15
2437|2017-06-06T00:00:00|1397162.10|349289.60|1138036.90|1746451.70
2438|2017-06-06T00:00:00|6329816.23|212787.85|919711.88|6542604.08
2439|2017-06-06T00:00:00|3534999.86|0.00|1957263.10|3534999.86
2440|2017-06-06T00:00:00|121154.55|0.00|0.00|121154.55
2441|2016-02-29T00:00:00|1200000.00|0.00|0.00|1200000.00
2442|2017-03-14T00:00:00|1110000.00|0.00|0.00|1110000.00
2443|2018-03-19T00:00:00|900000.00|0.00|519695.12|900000.00
2444|2016-11-08T00:00:00|1080000.00|0.00|0.00|1080000.00
2445|2015-06-15T00:00:00|1200000.00|0.00|0.00|1200000.00
2446|2017-11-17T00:00:00|2010011.21|273192.41|1459193.49|2283203.62
2447|2016-11-10T00:00:00|900000.00|0.00|0.00|900000.00
2448|2016-02-02T00:00:00|1200000.00|0.00|0.00|1200000.00
2449|2016-02-29T00:00:00|1200000.00|0.00|0.00|1200000.00
2450|2015-06-15T00:00:00|870000.00|0.00|0.00|870000.00
2451|2016-04-25T00:00:00|1500000.00|0.00|0.00|1500000.00
2453|2015-08-03T00:00:00|1200000.00|0.00|0.00|1200000.00
2454|2015-08-03T00:00:00|1200000.00|0.00|0.00|1200000.00
2455|2017-03-14T00:00:00|1200000.00|0.00|0.00|1200000.00
2456|2016-11-07T00:00:00|1200000.00|0.00|0.00|1200000.00
2457|2015-08-03T00:00:00|1050000.00|0.00|0.00|1050000.00
2458|2016-04-25T00:00:00|1080000.00|0.00|0.00|1080000.00
2459|2015-06-15T00:00:00|1230000.00|0.00|0.00|1230000.00
